task_id,task_type,complexity,assigned_to,duration_minutes,resolved,user_feedback,previous_attempts,urgency,automation_possible,efficiency_index
36,HR,1,AI,24,Yes,5,3,High,No,0.208
37,Technical,1,Human,9,Yes,4,1,Low,Yes,0.444
38,Technical,4,AI,41,Yes,2,2,High,No,0.049
39,Technical,5,AI,16,Yes,5,2,Low,No,0.312
40,Customer Support,2,AI,38,Yes,5,1,High,No,0.132
41,HR,5,Human,47,Yes,4,1,High,No,0.085
42,Technical,1,Human,26,Yes,3,2,Medium,No,0.115
43,HR,2,AI,44,Yes,3,1,Medium,No,0.068
44,HR,3,Human,8,Yes,3,0,High,No,0.375
45,Billing,1,Human,40,Yes,5,2,High,No,0.125
46,Customer Support,1,AI,40,Yes,4,2,High,No,0.1
47,Billing,2,Human,26,Yes,1,0,Medium,No,0.038
48,Billing,5,Human,49,Yes,4,0,High,No,0.082
49,Technical,5,Human,56,Yes,3,3,Low,No,0.054
50,Customer Support,1,AI,8,Yes,1,1,Low,Yes,0.125
51,Billing,5,AI,53,Yes,4,2,High,No,0.075
52,Customer Support,4,Human,21,Yes,2,2,High,No,0.095
53,Technical,2,AI,7,Yes,2,0,Medium,Yes,0.286
54,Billing,3,AI,8,Yes,5,2,High,No,0.625
55,HR,3,AI,40,Yes,4,3,High,No,0.1
56,Technical,5,AI,9,Yes,2,3,High,No,0.222
57,Billing,3,Human,17,Yes,4,3,Medium,No,0.235
58,Technical,4,Human,14,Yes,2,1,High,No,0.143
59,Customer Support,2,AI,53,Yes,1,2,Low,No,0.019
60,Technical,2,AI,12,Yes,5,3,Medium,Yes,0.417
61,Customer Support,1,AI,12,Yes,3,1,Medium,Yes,0.25
62,Billing,4,AI,17,Yes,3,2,Medium,No,0.176
63,Customer Support,5,Human,49,Yes,5,2,Medium,No,0.102
64,Technical,1,Human,58,Yes,4,1,High,No,0.069
65,HR,5,Human,40,No,1,2,Medium,No,0.025
66,Billing,4,Human,14,Yes,5,3,Medium,No,0.357
67,HR,5,Human,57,Yes,3,3,Medium,No,0.053
68,HR,2,AI,44,Yes,2,0,High,No,0.045
69,Billing,3,Human,58,Yes,2,1,Low,No,0.034
70,HR,2,AI,23,No,2,3,Medium,No,0.087
71,Technical,4,Human,14,Yes,2,1,Medium,No,0.143
72,Customer Support,4,Human,51,Yes,3,0,Medium,No,0.059
73,Customer Support,2,AI,48,Yes,1,0,Low,No,0.021
74,Customer Support,4,Human,40,Yes,2,2,Medium,No,0.05
75,Customer Support,1,AI,7,Yes,3,1,Low,Yes,0.429
76,Technical,2,AI,41,No,2,2,Low,No,0.049
77,Customer Support,1,Human,50,Yes,3,1,Low,No,0.06
78,Billing,5,Human,11,Yes,4,3,Low,No,0.364
79,Customer Support,1,AI,44,Yes,2,0,High,No,0.045
80,HR,4,AI,32,Yes,2,3,High,No,0.062
81,Technical,4,Human,6,No,1,3,Medium,No,0.167
82,Customer Support,3,Human,48,Yes,4,1,Medium,No,0.083
83,HR,2,AI,18,Yes,1,2,Low,Yes,0.056
84,HR,5,Human,44,Yes,4,3,High,No,0.091
85,Billing,1,Human,7,Yes,5,1,Low,Yes,0.714
86,Customer Support,1,AI,24,Yes,3,3,High,No,0.125
87,Technical,1,AI,5,No,1,3,High,Yes,0.2
88,HR,1,Human,34,Yes,4,3,High,No,0.118
89,HR,2,AI,6,Yes,2,1,High,Yes,0.333
90,Technical,1,AI,28,Yes,5,0,Low,No,0.179
91,Technical,2,AI,34,Yes,2,0,Low,No,0.059
92,Technical,3,AI,57,Yes,3,0,Medium,No,0.053
93,Technical,5,Human,58,Yes,1,2,Medium,No,0.017
94,Technical,5,Human,53,Yes,5,3,Low,No,0.094
95,Billing,3,AI,16,Yes,3,0,High,No,0.188
96,Technical,3,Human,42,No,2,2,Low,No,0.048
97,Customer Support,2,Human,34,Yes,1,1,Medium,No,0.029
98,HR,2,AI,22,Yes,1,2,High,No,0.045
99,Customer Support,1,AI,35,Yes,5,0,High,No,0.143
100,Billing,2,Human,14,Yes,3,3,High,Yes,0.214
101,HR,1,Human,5,Yes,2,3,High,Yes,0.4
102,Customer Support,1,Human,26,Yes,5,1,Low,No,0.192
103,Technical,1,Human,48,Yes,5,3,High,No,0.104
104,HR,1,Human,5,Yes,1,3,High,Yes,0.2
105,Technical,4,AI,52,Yes,2,1,Low,No,0.038
106,Technical,1,AI,20,Yes,2,3,High,Yes,0.1
107,Customer Support,5,Human,37,Yes,4,3,Low,No,0.108
108,HR,1,Human,58,Yes,5,3,Low,No,0.086
109,Technical,4,AI,60,Yes,2,0,Medium,No,0.033
110,Billing,5,AI,32,Yes,3,3,High,No,0.094
111,Customer Support,3,AI,24,Yes,5,0,Medium,No,0.208
112,Technical,2,AI,19,Yes,4,0,Low,Yes,0.211
113,Technical,3,Human,13,Yes,1,1,Medium,No,0.077
114,Technical,3,AI,18,Yes,4,2,High,No,0.222
115,Technical,4,AI,42,Yes,2,0,Medium,No,0.048
116,HR,2,Human,45,Yes,1,2,Medium,No,0.022
117,Billing,4,Human,28,No,5,0,High,No,0.179
118,HR,1,Human,9,Yes,2,0,High,Yes,0.222
119,Technical,1,AI,34,Yes,4,1,Low,No,0.118
120,Billing,1,Human,39,No,5,1,Medium,No,0.128
121,HR,1,Human,22,Yes,4,3,Medium,No,0.182
122,HR,1,Human,41,Yes,4,0,Low,No,0.098
123,Billing,3,Human,13,No,1,2,Medium,No,0.077
124,HR,4,AI,24,Yes,1,3,High,No,0.042
125,Customer Support,2,Human,10,Yes,4,1,High,Yes,0.4
126,Technical,4,Human,20,Yes,4,1,Low,No,0.2
127,Technical,5,AI,39,No,1,1,Medium,No,0.026
128,Technical,5,AI,31,Yes,3,1,Low,No,0.097
129,Billing,2,AI,45,Yes,3,0,Medium,No,0.067
130,HR,2,Human,20,Yes,5,0,Low,Yes,0.25
131,Customer Support,2,Human,19,Yes,4,0,High,Yes,0.211
132,Billing,4,Human,6,Yes,2,3,High,No,0.333
133,HR,2,AI,19,Yes,4,0,Medium,Yes,0.211
134,Technical,2,AI,45,Yes,5,1,Low,No,0.111
135,Customer Support,5,Human,58,No,3,1,High,No,0.052
136,Technical,5,Human,39,Yes,3,3,Medium,No,0.077
137,HR,4,Human,13,Yes,1,2,Low,No,0.077
138,Technical,3,AI,50,Yes,3,0,Low,No,0.06
139,Billing,3,AI,31,Yes,2,3,Medium,No,0.065
140,Billing,5,Human,45,Yes,5,0,Medium,No,0.111
141,HR,2,AI,49,Yes,3,0,High,No,0.061
142,HR,4,Human,36,Yes,4,3,High,No,0.111
143,Billing,3,Human,9,Yes,4,1,Medium,No,0.444
144,Technical,1,Human,60,Yes,3,3,Low,No,0.05
145,Billing,1,AI,56,Yes,4,3,Medium,No,0.071
146,Customer Support,5,AI,34,Yes,5,2,High,No,0.147
147,Technical,3,AI,12,Yes,3,2,Low,No,0.25
148,Technical,2,AI,8,Yes,2,1,High,Yes,0.25
149,Customer Support,3,Human,8,Yes,5,0,Low,No,0.625
150,HR,4,Human,5,Yes,1,1,High,No,0.2
151,Customer Support,5,AI,14,Yes,3,1,Low,No,0.214
152,Customer Support,3,AI,22,Yes,5,2,Medium,No,0.227
153,Technical,5,Human,43,Yes,2,1,High,No,0.047
154,Billing,5,AI,38,Yes,1,2,Medium,No,0.026
155,Billing,5,AI,23,Yes,5,2,High,No,0.217
156,Billing,3,AI,11,Yes,5,1,Medium,No,0.455
157,Customer Support,5,AI,32,Yes,1,1,High,No,0.031
158,Billing,3,AI,51,Yes,1,0,Low,No,0.02
159,Customer Support,1,Human,11,Yes,5,1,High,Yes,0.455
160,Billing,3,AI,45,No,1,2,Low,No,0.022
161,Customer Support,2,AI,23,Yes,1,2,Medium,No,0.043
162,HR,5,AI,19,Yes,1,1,Medium,No,0.053
163,Billing,2,Human,28,Yes,4,1,Medium,No,0.143
164,Technical,5,Human,23,Yes,4,2,Low,No,0.174
165,Technical,5,Human,9,Yes,3,2,Low,No,0.333
166,Billing,2,Human,41,Yes,5,3,Medium,No,0.122
167,Technical,4,AI,50,Yes,3,3,High,No,0.06
168,Billing,4,Human,51,Yes,4,3,Medium,No,0.078
169,Technical,4,AI,46,Yes,4,1,Medium,No,0.087
170,Billing,2,AI,7,Yes,4,3,Medium,Yes,0.571
171,Technical,2,AI,49,Yes,2,0,Low,No,0.041
172,Technical,4,Human,37,Yes,4,3,High,No,0.108
173,Technical,4,Human,49,No,2,2,Low,No,0.041
174,HR,2,Human,20,Yes,4,0,Medium,Yes,0.2
175,Customer Support,3,AI,7,Yes,4,2,Low,No,0.571
176,Technical,3,AI,28,Yes,5,0,High,No,0.179
177,HR,3,Human,30,Yes,2,0,Medium,No,0.067
178,Billing,3,Human,28,Yes,2,0,High,No,0.071
179,Technical,1,AI,26,Yes,1,2,High,No,0.038
180,Customer Support,2,AI,46,Yes,1,3,Medium,No,0.022
181,HR,2,Human,29,Yes,2,1,Medium,No,0.069
182,Billing,2,AI,37,Yes,5,0,Medium,No,0.135
183,Customer Support,3,Human,59,Yes,3,2,High,No,0.051
184,Technical,4,Human,23,Yes,1,0,Low,No,0.043
185,HR,3,AI,36,Yes,3,0,High,No,0.083
186,Customer Support,4,Human,29,No,2,2,Low,No,0.069
187,HR,4,Human,52,Yes,4,1,Low,No,0.077
188,Technical,5,AI,21,Yes,1,1,Medium,No,0.048
189,Technical,5,AI,39,Yes,3,3,Medium,No,0.077
190,Customer Support,1,AI,13,Yes,2,1,High,Yes,0.154
191,HR,2,Human,10,Yes,5,3,High,Yes,0.5
192,Technical,2,Human,47,Yes,3,2,Medium,No,0.064
193,HR,4,Human,40,Yes,4,0,Low,No,0.1
194,Technical,4,AI,19,Yes,4,3,High,No,0.211
195,Technical,4,AI,54,Yes,1,1,Medium,No,0.019
196,Billing,4,AI,21,No,1,2,High,No,0.048
197,HR,5,Human,20,Yes,3,2,Low,No,0.15
198,HR,5,AI,31,No,2,0,Medium,No,0.065
199,Billing,1,AI,13,Yes,3,1,Low,Yes,0.231
200,Customer Support,1,Human,24,Yes,4,3,Medium,No,0.167
201,Customer Support,1,AI,55,Yes,2,3,High,No,0.036
202,HR,1,AI,6,No,2,3,Medium,Yes,0.333
203,Billing,5,AI,20,Yes,3,2,Medium,No,0.15
204,HR,5,AI,37,Yes,2,3,Low,No,0.054
205,Customer Support,2,AI,41,Yes,5,2,High,No,0.122
206,Customer Support,4,Human,5,Yes,3,1,High,No,0.6
207,Billing,2,AI,44,Yes,3,0,Low,No,0.068
208,HR,2,Human,7,Yes,4,3,High,Yes,0.571
209,Customer Support,4,AI,35,Yes,2,1,Low,No,0.057
210,Customer Support,4,AI,50,Yes,5,0,Low,No,0.1
211,Customer Support,1,Human,19,Yes,1,2,Medium,Yes,0.053
212,Customer Support,1,AI,18,Yes,3,1,Low,Yes,0.167
213,Billing,3,AI,43,Yes,3,3,High,No,0.07
214,Billing,2,Human,40,Yes,3,2,High,No,0.075
215,Technical,2,Human,56,Yes,5,2,High,No,0.089
216,Billing,2,AI,47,Yes,2,0,Medium,No,0.043
217,HR,2,AI,9,Yes,3,2,Low,Yes,0.333
218,Customer Support,5,Human,60,Yes,2,1,Medium,No,0.033
219,Technical,5,Human,44,Yes,4,3,High,No,0.091
220,Technical,4,AI,55,Yes,3,3,Medium,No,0.055
221,Billing,2,AI,19,Yes,1,0,Low,Yes,0.053
222,Technical,3,Human,38,Yes,2,1,Medium,No,0.053
223,Technical,1,Human,19,Yes,4,2,Low,Yes,0.211
224,Billing,2,AI,56,Yes,2,2,Low,No,0.036
225,Billing,3,AI,29,No,2,1,High,No,0.069
226,Billing,1,Human,26,Yes,1,3,High,No,0.038
227,HR,1,Human,60,Yes,5,3,Medium,No,0.083
228,Customer Support,4,AI,18,Yes,1,1,Low,No,0.056
229,HR,2,Human,44,Yes,1,3,High,No,0.023
230,Customer Support,2,AI,40,Yes,2,2,Medium,No,0.05
231,HR,2,Human,12,Yes,5,0,High,Yes,0.417
232,Technical,2,Human,18,Yes,4,0,Medium,Yes,0.222
233,Technical,1,Human,25,No,4,2,Low,No,0.16
234,Technical,4,AI,44,Yes,2,1,High,No,0.045
235,HR,2,AI,43,Yes,2,1,Low,No,0.047
236,Customer Support,1,Human,51,Yes,2,2,High,No,0.039
237,Billing,3,AI,30,Yes,5,2,High,No,0.167
238,Technical,1,AI,13,No,5,2,Medium,Yes,0.385
239,HR,5,AI,29,Yes,5,2,Medium,No,0.172
240,Technical,4,Human,37,Yes,3,3,Low,No,0.081
241,HR,1,Human,58,Yes,4,3,High,No,0.069
242,Billing,5,AI,14,Yes,5,2,Low,No,0.357
243,Technical,1,Human,41,Yes,5,0,High,No,0.122
244,Billing,4,AI,11,No,3,3,Medium,No,0.273
245,Billing,3,Human,30,Yes,2,0,Medium,No,0.067
246,Billing,5,Human,51,Yes,4,3,Medium,No,0.078
247,HR,1,AI,17,Yes,3,3,High,Yes,0.176
248,HR,2,AI,35,No,2,3,High,No,0.057
249,Billing,4,AI,22,Yes,4,3,Low,No,0.182
250,Technical,3,Human,19,Yes,3,0,Low,No,0.158
251,Technical,5,Human,41,Yes,3,1,Medium,No,0.073
252,Customer Support,5,AI,17,Yes,2,2,Medium,No,0.118
253,Billing,1,AI,48,Yes,3,3,Medium,No,0.062
254,Technical,2,AI,13,Yes,4,0,High,Yes,0.308
255,HR,3,Human,12,Yes,5,1,High,No,0.417
256,Customer Support,3,Human,48,Yes,1,2,High,No,0.021
257,Customer Support,2,Human,25,Yes,4,3,Medium,No,0.16
258,Customer Support,1,Human,26,Yes,1,0,Low,No,0.038
259,HR,5,AI,19,Yes,4,0,Medium,No,0.211
260,Customer Support,5,Human,18,Yes,4,0,Medium,No,0.222
261,Technical,1,AI,9,Yes,3,2,High,Yes,0.333
262,Technical,5,Human,16,Yes,5,1,High,No,0.312
263,Customer Support,3,Human,20,Yes,1,1,Medium,No,0.05
264,Technical,1,AI,14,Yes,5,1,High,Yes,0.357
265,HR,3,AI,45,No,5,1,Medium,No,0.111
266,Billing,3,AI,56,Yes,2,2,Low,No,0.036
267,HR,2,AI,36,Yes,4,3,Medium,No,0.111
268,Customer Support,3,Human,30,Yes,4,1,High,No,0.133
269,Technical,2,Human,24,Yes,2,2,Medium,No,0.083
270,Technical,1,Human,37,Yes,1,3,High,No,0.027
271,Billing,4,Human,15,Yes,1,1,Medium,No,0.067
272,Billing,3,Human,12,Yes,3,1,High,No,0.25
273,Billing,3,Human,11,Yes,5,3,Low,No,0.455
274,Billing,1,AI,8,Yes,4,3,High,Yes,0.5
275,Technical,5,Human,41,Yes,5,2,Medium,No,0.122
276,Technical,2,AI,39,No,4,0,Low,No,0.103
277,Technical,3,AI,58,Yes,5,0,Medium,No,0.086
278,Billing,2,AI,21,Yes,3,2,Low,No,0.143
279,HR,1,AI,17,Yes,4,1,High,Yes,0.235
280,HR,3,AI,20,Yes,3,0,High,No,0.15
281,Billing,3,AI,34,Yes,3,2,Low,No,0.088
282,Technical,4,Human,33,Yes,4,0,High,No,0.121
283,Customer Support,4,Human,48,No,1,2,Medium,No,0.021
284,Customer Support,2,AI,23,Yes,5,3,Medium,No,0.217
285,Customer Support,5,AI,59,No,4,3,High,No,0.068
286,HR,4,AI,39,No,5,0,High,No,0.128
287,HR,2,Human,19,Yes,5,3,Low,Yes,0.263
288,Technical,4,AI,7,Yes,3,2,Low,No,0.429
289,Billing,1,Human,11,Yes,2,3,High,Yes,0.182
290,Technical,5,AI,50,Yes,3,1,Medium,No,0.06
291,HR,3,AI,28,No,1,1,High,No,0.036
292,Customer Support,3,Human,15,Yes,5,0,High,No,0.333
293,Customer Support,4,AI,23,Yes,3,3,Low,No,0.13
294,Billing,1,Human,24,Yes,1,1,High,No,0.042
295,Billing,5,Human,28,No,4,0,High,No,0.143
296,Billing,5,Human,17,Yes,5,3,Medium,No,0.294
297,Billing,4,AI,15,Yes,3,1,Medium,No,0.2
298,HR,2,AI,45,Yes,5,3,High,No,0.111
299,Billing,1,Human,55,Yes,4,3,Low,No,0.073
300,Billing,2,AI,22,Yes,4,3,Medium,No,0.182
301,Technical,2,Human,60,Yes,5,1,High,No,0.083
302,HR,2,Human,35,Yes,1,3,Medium,No,0.029
303,Billing,3,Human,17,Yes,1,3,Medium,No,0.059
304,Customer Support,4,Human,27,No,4,0,High,No,0.148
305,Customer Support,2,Human,49,Yes,4,2,Low,No,0.082
306,Customer Support,3,AI,29,Yes,1,1,Low,No,0.034
307,Customer Support,4,AI,27,Yes,4,0,High,No,0.148
308,Technical,5,Human,13,Yes,1,3,Medium,No,0.077
309,Technical,2,Human,43,Yes,3,3,High,No,0.07
310,Technical,1,Human,26,Yes,4,2,Low,No,0.154
311,Technical,5,AI,20,Yes,4,3,Low,No,0.2
312,HR,5,Human,44,Yes,4,2,High,No,0.091
313,Customer Support,4,Human,15,Yes,3,1,Low,No,0.2
314,Customer Support,3,Human,25,Yes,2,0,Low,No,0.08
315,HR,2,AI,21,Yes,2,3,Low,No,0.095
316,Billing,2,AI,57,Yes,4,3,High,No,0.07
317,Technical,1,Human,46,Yes,1,3,High,No,0.022
318,Billing,5,AI,51,Yes,3,3,High,No,0.059
319,Technical,3,AI,58,Yes,5,0,Medium,No,0.086
320,Technical,1,AI,36,Yes,4,0,Low,No,0.111
321,Technical,3,AI,37,Yes,3,0,High,No,0.081
322,Billing,1,Human,17,No,4,2,High,Yes,0.235
323,Customer Support,5,Human,50,Yes,2,1,Low,No,0.04
324,Customer Support,3,Human,15,Yes,2,0,Low,No,0.133
325,Billing,2,Human,34,Yes,3,1,Low,No,0.088
326,HR,3,AI,15,Yes,4,0,Low,No,0.267
327,Billing,1,Human,57,Yes,2,2,Medium,No,0.035
328,Billing,2,AI,8,Yes,5,0,High,Yes,0.625
329,Billing,4,Human,16,Yes,2,2,Medium,No,0.125
330,Billing,2,AI,19,Yes,5,1,Medium,Yes,0.263
331,Technical,2,AI,5,Yes,3,0,Low,Yes,0.6
332,Customer Support,4,AI,22,Yes,4,1,Low,No,0.182
333,Customer Support,1,AI,9,Yes,2,1,High,Yes,0.222
334,Technical,5,Human,27,Yes,4,0,High,No,0.148
335,HR,1,Human,17,Yes,5,3,Medium,Yes,0.294
336,HR,3,Human,59,Yes,2,0,Low,No,0.034
337,Billing,2,Human,46,Yes,1,0,Low,No,0.022
338,Billing,1,Human,18,No,1,1,Low,Yes,0.056
339,Technical,4,Human,11,Yes,1,1,High,No,0.091
340,Technical,4,Human,6,Yes,3,0,Medium,No,0.5
341,HR,3,AI,46,Yes,1,2,Low,No,0.022
342,HR,1,Human,41,Yes,4,2,Low,No,0.098
343,Billing,3,AI,14,Yes,2,3,Low,No,0.143
344,Billing,3,Human,22,Yes,1,2,Low,No,0.045
345,HR,5,AI,48,No,4,1,Medium,No,0.083
346,Customer Support,3,Human,5,Yes,3,0,Medium,No,0.6
347,Technical,5,Human,10,Yes,4,0,Medium,No,0.4
348,Billing,4,Human,51,Yes,5,0,High,No,0.098
349,Billing,3,Human,39,Yes,5,0,Medium,No,0.128
350,Customer Support,3,AI,10,Yes,4,1,Low,No,0.4
351,Technical,2,Human,44,Yes,4,0,High,No,0.091
352,Customer Support,4,AI,20,Yes,1,1,High,No,0.05
353,Customer Support,4,Human,40,Yes,5,3,High,No,0.125
354,Billing,4,Human,7,Yes,3,3,Medium,No,0.429
355,Customer Support,1,AI,57,Yes,2,1,Medium,No,0.035
356,Billing,3,Human,46,Yes,4,0,Low,No,0.087
357,HR,1,Human,46,Yes,1,2,High,No,0.022
358,Customer Support,2,AI,29,Yes,1,3,Medium,No,0.034
359,Technical,4,Human,33,No,5,0,High,No,0.152
360,Billing,3,Human,44,Yes,4,1,Low,No,0.091
361,Technical,4,AI,18,Yes,2,1,Medium,No,0.111
362,Billing,5,Human,49,No,4,0,High,No,0.082
363,Technical,4,Human,48,Yes,4,3,High,No,0.083
364,Billing,4,Human,28,Yes,3,3,High,No,0.107
365,Customer Support,5,Human,20,Yes,1,0,Low,No,0.05
366,Billing,1,AI,47,Yes,4,1,High,No,0.085
367,Customer Support,1,AI,46,Yes,4,1,Low,No,0.087
368,HR,4,AI,58,Yes,4,2,Low,No,0.069
369,Customer Support,5,AI,44,Yes,4,0,High,No,0.091
370,HR,5,AI,8,Yes,1,1,Medium,No,0.125
371,Billing,3,Human,53,No,1,1,Medium,No,0.019
372,Billing,2,AI,52,Yes,2,3,Medium,No,0.038
373,Billing,5,Human,43,Yes,5,2,Medium,No,0.116
374,Billing,2,Human,17,Yes,3,2,High,Yes,0.176
375,HR,2,AI,45,Yes,4,3,Low,No,0.089
376,Technical,3,AI,48,Yes,4,1,Low,No,0.083
377,Customer Support,3,AI,55,Yes,3,1,High,No,0.055
378,Customer Support,4,AI,8,Yes,2,2,Low,No,0.25
379,Billing,3,AI,9,Yes,4,1,Low,No,0.444
380,Billing,3,AI,49,No,3,3,Low,No,0.061
381,Billing,4,AI,7,Yes,1,0,Low,No,0.143
382,HR,4,Human,21,Yes,1,2,Low,No,0.048
383,HR,4,AI,45,Yes,1,1,Low,No,0.022
384,Technical,2,AI,21,Yes,3,0,High,No,0.143
385,Customer Support,5,AI,47,Yes,5,0,Low,No,0.106
386,Billing,2,AI,26,Yes,5,3,Low,No,0.192
387,Billing,3,Human,59,No,5,3,Medium,No,0.085
388,Billing,5,AI,36,Yes,4,3,Medium,No,0.111
389,Billing,1,Human,52,Yes,4,0,Medium,No,0.077
390,Customer Support,2,AI,23,Yes,4,3,High,No,0.174
391,Billing,5,Human,10,Yes,3,2,Medium,No,0.3
392,HR,3,AI,39,Yes,4,3,Low,No,0.103
393,Technical,1,AI,45,Yes,2,1,Low,No,0.044
394,HR,5,Human,13,Yes,5,1,Medium,No,0.385
395,Customer Support,3,Human,42,Yes,1,2,Low,No,0.024
396,Technical,4,Human,11,No,3,3,Low,No,0.273
397,Technical,4,Human,51,No,5,1,High,No,0.098
398,Technical,1,Human,59,Yes,4,1,High,No,0.068
399,Customer Support,4,Human,11,Yes,4,0,High,No,0.364
400,Technical,1,Human,57,Yes,4,3,High,No,0.07
401,HR,4,AI,6,Yes,3,3,Medium,No,0.5
402,Customer Support,4,AI,24,No,1,3,High,No,0.042
403,Customer Support,5,AI,56,Yes,1,3,Medium,No,0.018
404,HR,1,AI,57,No,3,3,High,No,0.053
405,Customer Support,4,AI,51,Yes,4,2,High,No,0.078
406,Technical,3,AI,20,Yes,1,0,Medium,No,0.05
407,Technical,5,AI,42,Yes,3,1,Medium,No,0.071
408,Billing,5,AI,55,Yes,1,0,Low,No,0.018
409,Customer Support,4,AI,44,Yes,4,2,Medium,No,0.091
410,Customer Support,2,AI,28,Yes,4,3,High,No,0.143
411,HR,5,Human,33,Yes,4,2,High,No,0.121
412,Customer Support,5,AI,56,Yes,2,1,High,No,0.036
413,Customer Support,5,AI,37,Yes,3,2,Medium,No,0.081
414,Technical,4,AI,21,Yes,2,1,High,No,0.095
415,Billing,2,AI,24,Yes,4,3,Low,No,0.167
416,Billing,3,AI,58,Yes,3,1,Medium,No,0.052
417,HR,2,Human,32,No,3,1,Medium,No,0.094
418,Billing,4,Human,8,No,3,3,High,No,0.375
419,HR,4,AI,51,Yes,4,3,High,No,0.078
420,Technical,4,Human,8,Yes,5,0,Medium,No,0.625
421,HR,3,AI,26,Yes,2,3,Medium,No,0.077
422,Customer Support,5,AI,60,Yes,1,0,High,No,0.017
423,Technical,4,Human,45,Yes,1,1,Medium,No,0.022
424,HR,5,AI,10,Yes,2,1,Low,No,0.2
425,Technical,2,Human,10,Yes,5,3,High,Yes,0.5
426,HR,5,Human,60,Yes,2,3,High,No,0.033
427,Billing,4,Human,9,Yes,1,3,Medium,No,0.111
428,Technical,4,Human,6,Yes,2,3,Low,No,0.333
429,HR,5,AI,5,Yes,3,0,Medium,No,0.6
430,Technical,1,Human,28,Yes,1,0,Medium,No,0.036
431,Technical,4,Human,35,Yes,3,2,High,No,0.086
432,Billing,3,Human,38,No,4,1,Medium,No,0.105
433,Customer Support,3,Human,33,Yes,3,0,High,No,0.091
434,HR,4,AI,15,No,2,2,High,No,0.133
435,Billing,5,Human,33,Yes,1,2,High,No,0.03
436,Technical,1,AI,37,Yes,4,0,High,No,0.108
437,Technical,5,Human,58,Yes,4,3,Low,No,0.069
438,Technical,4,Human,33,Yes,4,3,Low,No,0.121
439,Customer Support,2,Human,21,Yes,5,1,Medium,No,0.238
440,Billing,2,Human,12,Yes,5,1,Medium,Yes,0.417
441,Technical,5,Human,14,Yes,2,0,High,No,0.143
442,Technical,2,AI,6,Yes,3,2,High,Yes,0.5
443,Billing,4,AI,35,Yes,4,1,Medium,No,0.114
444,Billing,1,Human,32,Yes,5,0,High,No,0.156
445,Billing,1,AI,48,Yes,2,1,High,No,0.042
446,Technical,5,AI,11,Yes,4,0,Medium,No,0.364
447,Technical,1,AI,50,Yes,4,1,Medium,No,0.08
448,Customer Support,3,Human,56,Yes,1,1,Low,No,0.018
449,Customer Support,2,Human,58,Yes,5,0,High,No,0.086
450,HR,1,AI,50,Yes,2,3,High,No,0.04
451,Technical,2,Human,26,Yes,1,3,High,No,0.038
452,Technical,4,AI,34,No,3,2,High,No,0.088
453,Billing,1,Human,8,Yes,3,1,Medium,Yes,0.375
454,Customer Support,1,Human,42,Yes,1,3,High,No,0.024
455,Customer Support,1,Human,47,Yes,2,1,Low,No,0.043
456,Technical,1,Human,7,Yes,4,3,Medium,Yes,0.571
457,Technical,4,Human,46,Yes,1,3,High,No,0.022
458,Technical,3,Human,60,Yes,1,3,Low,No,0.017
