task_id,task_type,complexity,assigned_to,duration_minutes,resolved,user_feedback,previous_attempts,urgency,automation_possible,efficiency_index,urgency_encoded,complexity_score
100,Billing,2,Human,14,Yes,3,3,High,Yes,0.214,3,1.7700000000000002
101,HR,1,Human,5,Yes,2,3,High,Yes,0.4,3,1.3250000000000002
102,Customer Support,1,Human,26,Yes,5,1,Low,No,0.192,1,0.83
103,Technical,1,Human,48,Yes,5,3,High,No,0.104,3,1.5400000000000003
104,HR,1,Human,5,Yes,1,3,High,Yes,0.2,3,1.3250000000000002
105,Technical,4,AI,52,Yes,2,1,Low,No,0.038,1,2.16
106,Technical,1,AI,20,Yes,2,3,High,Yes,0.1,3,1.4000000000000001
107,Customer Support,5,Human,37,Yes,4,3,Low,No,0.108,1,2.8850000000000002
108,HR,1,Human,58,Yes,5,3,Low,No,0.086,1,1.3900000000000001
109,Technical,4,AI,60,Yes,2,0,Medium,No,0.033,2,2.1
110,Billing,5,AI,32,Yes,3,3,High,No,0.094,3,3.0600000000000005
111,Customer Support,3,AI,24,Yes,5,0,Medium,No,0.208,2,1.5200000000000002
112,Technical,2,AI,19,Yes,4,0,Low,Yes,0.211,1,0.995
113,Technical,3,Human,13,Yes,1,1,Medium,No,0.077,2,1.665
114,Technical,3,AI,18,Yes,4,2,High,No,0.222,3,1.9900000000000004
115,Technical,4,AI,42,Yes,2,0,Medium,No,0.048,2,2.0100000000000002
116,HR,2,Human,45,Yes,1,2,Medium,No,0.022,2,1.6249999999999998
117,Billing,4,Human,28,No,5,0,High,No,0.179,3,2.04
118,HR,1,Human,9,Yes,2,0,High,Yes,0.222,3,0.7450000000000001
119,Technical,1,AI,34,Yes,4,1,Low,No,0.118,1,0.87
120,Billing,1,Human,39,No,5,1,Medium,No,0.128,2,0.9949999999999999
121,HR,1,Human,22,Yes,4,3,Medium,No,0.182,2,1.31
122,HR,1,Human,41,Yes,4,0,Low,No,0.098,1,0.705
123,Billing,3,Human,13,No,1,2,Medium,No,0.077,2,1.865
124,HR,4,AI,24,Yes,1,3,High,No,0.042,3,2.62
125,Customer Support,2,Human,10,Yes,4,1,High,Yes,0.4,3,1.35
126,Technical,4,Human,20,Yes,4,1,Low,No,0.2,1,2.0
127,Technical,5,AI,39,No,1,1,Medium,No,0.026,2,2.595
128,Technical,5,AI,31,Yes,3,1,Low,No,0.097,1,2.455
129,Billing,2,AI,45,Yes,3,0,Medium,No,0.067,2,1.2249999999999999
130,HR,2,Human,20,Yes,5,0,Low,Yes,0.25,1,1.0
131,Customer Support,2,Human,19,Yes,4,0,High,Yes,0.211,3,1.195
132,Billing,4,Human,6,Yes,2,3,High,No,0.333,3,2.5300000000000002
133,HR,2,AI,19,Yes,4,0,Medium,Yes,0.211,2,1.095
134,Technical,2,AI,45,Yes,5,1,Low,No,0.111,1,1.325
135,Customer Support,5,Human,58,No,3,1,High,No,0.052,3,2.79
136,Technical,5,Human,39,Yes,3,3,Medium,No,0.077,2,2.995
137,HR,4,Human,13,Yes,1,2,Low,No,0.077,1,2.165
138,Technical,3,AI,50,Yes,3,0,Low,No,0.06,1,1.5500000000000003
139,Billing,3,AI,31,Yes,2,3,Medium,No,0.065,2,2.1550000000000002
140,Billing,5,Human,45,Yes,5,0,Medium,No,0.111,2,2.4250000000000003
141,HR,2,AI,49,Yes,3,0,High,No,0.061,3,1.345
142,HR,4,Human,36,Yes,4,3,High,No,0.111,3,2.6799999999999997
143,Billing,3,Human,9,Yes,4,1,Medium,No,0.444,2,1.645
144,Technical,1,Human,60,Yes,3,3,Low,No,0.05,1,1.4000000000000001
145,Billing,1,AI,56,Yes,4,3,Medium,No,0.071,2,1.48
146,Customer Support,5,AI,34,Yes,5,2,High,No,0.147,3,2.87
147,Technical,3,AI,12,Yes,3,2,Low,No,0.25,1,1.7600000000000002
148,Technical,2,AI,8,Yes,2,1,High,Yes,0.25,3,1.34
149,Customer Support,3,Human,8,Yes,5,0,Low,No,0.625,1,1.3400000000000003
150,HR,4,Human,5,Yes,1,1,High,No,0.2,3,2.125
151,Customer Support,5,AI,14,Yes,3,1,Low,No,0.214,1,2.37
152,Customer Support,3,AI,22,Yes,5,2,Medium,No,0.227,2,1.91
153,Technical,5,Human,43,Yes,2,1,High,No,0.047,3,2.715
154,Billing,5,AI,38,Yes,1,2,Medium,No,0.026,2,2.79
155,Billing,5,AI,23,Yes,5,2,High,No,0.217,3,2.8150000000000004
156,Billing,3,AI,11,Yes,5,1,Medium,No,0.455,2,1.655
157,Customer Support,5,AI,32,Yes,1,1,High,No,0.031,3,2.66
158,Billing,3,AI,51,Yes,1,0,Low,No,0.02,1,1.5550000000000002
159,Customer Support,1,Human,11,Yes,5,1,High,Yes,0.455,3,0.9550000000000001
160,Billing,3,AI,45,No,1,2,Low,No,0.022,1,1.9250000000000003
161,Customer Support,2,AI,23,Yes,1,2,Medium,No,0.043,2,1.515
162,HR,5,AI,19,Yes,1,1,Medium,No,0.053,2,2.4950000000000006
163,Billing,2,Human,28,Yes,4,1,Medium,No,0.143,2,1.34
164,Technical,5,Human,23,Yes,4,2,Low,No,0.174,1,2.615
165,Technical,5,Human,9,Yes,3,2,Low,No,0.333,1,2.545
166,Billing,2,Human,41,Yes,5,3,Medium,No,0.122,2,1.8050000000000002
167,Technical,4,AI,50,Yes,3,3,High,No,0.06,3,2.75
168,Billing,4,Human,51,Yes,4,3,Medium,No,0.078,2,2.6550000000000002
169,Technical,4,AI,46,Yes,4,1,Medium,No,0.087,2,2.2300000000000004
170,Billing,2,AI,7,Yes,4,3,Medium,Yes,0.571,2,1.635
171,Technical,2,AI,49,Yes,2,0,Low,No,0.041,1,1.145
172,Technical,4,Human,37,Yes,4,3,High,No,0.108,3,2.6850000000000005
173,Technical,4,Human,49,No,2,2,Low,No,0.041,1,2.345
174,HR,2,Human,20,Yes,4,0,Medium,Yes,0.2,2,1.1
175,Customer Support,3,AI,7,Yes,4,2,Low,No,0.571,1,1.7350000000000003
176,Technical,3,AI,28,Yes,5,0,High,No,0.179,3,1.6400000000000001
177,HR,3,Human,30,Yes,2,0,Medium,No,0.067,2,1.55
178,Billing,3,Human,28,Yes,2,0,High,No,0.071,3,1.6400000000000001
179,Technical,1,AI,26,Yes,1,2,High,No,0.038,3,1.23
180,Customer Support,2,AI,46,Yes,1,3,Medium,No,0.022,2,1.83
181,HR,2,Human,29,Yes,2,1,Medium,No,0.069,2,1.345
182,Billing,2,AI,37,Yes,5,0,Medium,No,0.135,2,1.185
183,Customer Support,3,Human,59,Yes,3,2,High,No,0.051,3,2.1950000000000003
184,Technical,4,Human,23,Yes,1,0,Low,No,0.043,1,1.8150000000000002
185,HR,3,AI,36,Yes,3,0,High,No,0.083,3,1.6800000000000002
186,Customer Support,4,Human,29,No,2,2,Low,No,0.069,1,2.245
187,HR,4,Human,52,Yes,4,1,Low,No,0.077,1,2.16
188,Technical,5,AI,21,Yes,1,1,Medium,No,0.048,2,2.5050000000000003
189,Technical,5,AI,39,Yes,3,3,Medium,No,0.077,2,2.995
190,Customer Support,1,AI,13,Yes,2,1,High,Yes,0.154,3,0.9650000000000001
191,HR,2,Human,10,Yes,5,3,High,Yes,0.5,3,1.7500000000000002
192,Technical,2,Human,47,Yes,3,2,Medium,No,0.064,2,1.635
193,HR,4,Human,40,Yes,4,0,Low,No,0.1,1,1.9000000000000001
194,Technical,4,AI,19,Yes,4,3,High,No,0.211,3,2.5949999999999998
195,Technical,4,AI,54,Yes,1,1,Medium,No,0.019,2,2.2700000000000005
196,Billing,4,AI,21,No,1,2,High,No,0.048,3,2.4050000000000002
197,HR,5,Human,20,Yes,3,2,Low,No,0.15,1,2.6
198,HR,5,AI,31,No,2,0,Medium,No,0.065,2,2.355
199,Billing,1,AI,13,Yes,3,1,Low,Yes,0.231,1,0.765
200,Customer Support,1,Human,24,Yes,4,3,Medium,No,0.167,2,1.32
201,Customer Support,1,AI,55,Yes,2,3,High,No,0.036,3,1.5750000000000002
202,HR,1,AI,6,No,2,3,Medium,Yes,0.333,2,1.2300000000000002
203,Billing,5,AI,20,Yes,3,2,Medium,No,0.15,2,2.7
204,HR,5,AI,37,Yes,2,3,Low,No,0.054,1,2.8850000000000002
205,Customer Support,2,AI,41,Yes,5,2,High,No,0.122,3,1.7050000000000003
206,Customer Support,4,Human,5,Yes,3,1,High,No,0.6,3,2.125
207,Billing,2,AI,44,Yes,3,0,Low,No,0.068,1,1.12
208,HR,2,Human,7,Yes,4,3,High,Yes,0.571,3,1.735
209,Customer Support,4,AI,35,Yes,2,1,Low,No,0.057,1,2.075
210,Customer Support,4,AI,50,Yes,5,0,Low,No,0.1,1,1.9500000000000002
211,Customer Support,1,Human,19,Yes,1,2,Medium,Yes,0.053,2,1.095
212,Customer Support,1,AI,18,Yes,3,1,Low,Yes,0.167,1,0.7899999999999999
213,Billing,3,AI,43,Yes,3,3,High,No,0.07,3,2.3150000000000004
214,Billing,2,Human,40,Yes,3,2,High,No,0.075,3,1.7
215,Technical,2,Human,56,Yes,5,2,High,No,0.089,3,1.78
216,Billing,2,AI,47,Yes,2,0,Medium,No,0.043,2,1.235
217,HR,2,AI,9,Yes,3,2,Low,Yes,0.333,1,1.3450000000000002
218,Customer Support,5,Human,60,Yes,2,1,Medium,No,0.033,2,2.7
219,Technical,5,Human,44,Yes,4,3,High,No,0.091,3,3.12
220,Technical,4,AI,55,Yes,3,3,Medium,No,0.055,2,2.6750000000000003
221,Billing,2,AI,19,Yes,1,0,Low,Yes,0.053,1,0.995
222,Technical,3,Human,38,Yes,2,1,Medium,No,0.053,2,1.79
223,Technical,1,Human,19,Yes,4,2,Low,Yes,0.211,1,0.995
224,Billing,2,AI,56,Yes,2,2,Low,No,0.036,1,1.58
225,Billing,3,AI,29,No,2,1,High,No,0.069,3,1.8450000000000002
226,Billing,1,Human,26,Yes,1,3,High,No,0.038,3,1.4300000000000002
227,HR,1,Human,60,Yes,5,3,Medium,No,0.083,2,1.5
228,Customer Support,4,AI,18,Yes,1,1,Low,No,0.056,1,1.9900000000000002
229,HR,2,Human,44,Yes,1,3,High,No,0.023,3,1.9200000000000002
230,Customer Support,2,AI,40,Yes,2,2,Medium,No,0.05,2,1.5999999999999999
231,HR,2,Human,12,Yes,5,0,High,Yes,0.417,3,1.1600000000000001
232,Technical,2,Human,18,Yes,4,0,Medium,Yes,0.222,2,1.09
233,Technical,1,Human,25,No,4,2,Low,No,0.16,1,1.0250000000000001
234,Technical,4,AI,44,Yes,2,1,High,No,0.045,3,2.3200000000000003
235,HR,2,AI,43,Yes,2,1,Low,No,0.047,1,1.3150000000000002
236,Customer Support,1,Human,51,Yes,2,2,High,No,0.039,3,1.3550000000000002
237,Billing,3,AI,30,Yes,5,2,High,No,0.167,3,2.05
238,Technical,1,AI,13,No,5,2,Medium,Yes,0.385,2,1.065
239,HR,5,AI,29,Yes,5,2,Medium,No,0.172,2,2.745
240,Technical,4,Human,37,Yes,3,3,Low,No,0.081,1,2.4850000000000003
241,HR,1,Human,58,Yes,4,3,High,No,0.069,3,1.59
242,Billing,5,AI,14,Yes,5,2,Low,No,0.357,1,2.57
243,Technical,1,Human,41,Yes,5,0,High,No,0.122,3,0.905
244,Billing,4,AI,11,No,3,3,Medium,No,0.273,2,2.455
245,Billing,3,Human,30,Yes,2,0,Medium,No,0.067,2,1.55
246,Billing,5,Human,51,Yes,4,3,Medium,No,0.078,2,3.055
247,HR,1,AI,17,Yes,3,3,High,Yes,0.176,3,1.385
248,HR,2,AI,35,No,2,3,High,No,0.057,3,1.8750000000000002
249,Billing,4,AI,22,Yes,4,3,Low,No,0.182,1,2.41
250,Technical,3,Human,19,Yes,3,0,Low,No,0.158,1,1.3950000000000002
251,Technical,5,Human,41,Yes,3,1,Medium,No,0.073,2,2.6050000000000004
252,Customer Support,5,AI,17,Yes,2,2,Medium,No,0.118,2,2.685
253,Billing,1,AI,48,Yes,3,3,Medium,No,0.062,2,1.4400000000000002
254,Technical,2,AI,13,Yes,4,0,High,Yes,0.308,3,1.165
255,HR,3,Human,12,Yes,5,1,High,No,0.417,3,1.7600000000000002
256,Customer Support,3,Human,48,Yes,1,2,High,No,0.021,3,2.1400000000000006
257,Customer Support,2,Human,25,Yes,4,3,Medium,No,0.16,2,1.725
258,Customer Support,1,Human,26,Yes,1,0,Low,No,0.038,1,0.63
259,HR,5,AI,19,Yes,4,0,Medium,No,0.211,2,2.2950000000000004
260,Customer Support,5,Human,18,Yes,4,0,Medium,No,0.222,2,2.29
261,Technical,1,AI,9,Yes,3,2,High,Yes,0.333,3,1.145
262,Technical,5,Human,16,Yes,5,1,High,No,0.312,3,2.58
263,Customer Support,3,Human,20,Yes,1,1,Medium,No,0.05,2,1.7000000000000002
264,Technical,1,AI,14,Yes,5,1,High,Yes,0.357,3,0.9700000000000001
265,HR,3,AI,45,No,5,1,Medium,No,0.111,2,1.8250000000000002
266,Billing,3,AI,56,Yes,2,2,Low,No,0.036,1,1.9800000000000004
267,HR,2,AI,36,Yes,4,3,Medium,No,0.111,2,1.78
268,Customer Support,3,Human,30,Yes,4,1,High,No,0.133,3,1.85
269,Technical,2,Human,24,Yes,2,2,Medium,No,0.083,2,1.52
270,Technical,1,Human,37,Yes,1,3,High,No,0.027,3,1.485
271,Billing,4,Human,15,Yes,1,1,Medium,No,0.067,2,2.075
272,Billing,3,Human,12,Yes,3,1,High,No,0.25,3,1.7600000000000002
273,Billing,3,Human,11,Yes,5,3,Low,No,0.455,1,1.9550000000000003
274,Billing,1,AI,8,Yes,4,3,High,Yes,0.5,3,1.34
275,Technical,5,Human,41,Yes,5,2,Medium,No,0.122,2,2.805
276,Technical,2,AI,39,No,4,0,Low,No,0.103,1,1.0950000000000002
277,Technical,3,AI,58,Yes,5,0,Medium,No,0.086,2,1.6900000000000002
278,Billing,2,AI,21,Yes,3,2,Low,No,0.143,1,1.4050000000000002
279,HR,1,AI,17,Yes,4,1,High,Yes,0.235,3,0.9850000000000001
280,HR,3,AI,20,Yes,3,0,High,No,0.15,3,1.6000000000000003
281,Billing,3,AI,34,Yes,3,2,Low,No,0.088,1,1.87
282,Technical,4,Human,33,Yes,4,0,High,No,0.121,3,2.0650000000000004
283,Customer Support,4,Human,48,No,1,2,Medium,No,0.021,2,2.4400000000000004
284,Customer Support,2,AI,23,Yes,5,3,Medium,No,0.217,2,1.715
285,Customer Support,5,AI,59,No,4,3,High,No,0.068,3,3.1950000000000003
286,HR,4,AI,39,No,5,0,High,No,0.128,3,2.095
287,HR,2,Human,19,Yes,5,3,Low,Yes,0.263,1,1.5950000000000002
288,Technical,4,AI,7,Yes,3,2,Low,No,0.429,1,2.1350000000000002
289,Billing,1,Human,11,Yes,2,3,High,Yes,0.182,3,1.3550000000000002
290,Technical,5,AI,50,Yes,3,1,Medium,No,0.06,2,2.6500000000000004
291,HR,3,AI,28,No,1,1,High,No,0.036,3,1.84
292,Customer Support,3,Human,15,Yes,5,0,High,No,0.333,3,1.5750000000000002
293,Customer Support,4,AI,23,Yes,3,3,Low,No,0.13,1,2.4150000000000005
294,Billing,1,Human,24,Yes,1,1,High,No,0.042,3,1.02
295,Billing,5,Human,28,No,4,0,High,No,0.143,3,2.4400000000000004
296,Billing,5,Human,17,Yes,5,3,Medium,No,0.294,2,2.8850000000000002
297,Billing,4,AI,15,Yes,3,1,Medium,No,0.2,2,2.075
298,HR,2,AI,45,Yes,5,3,High,No,0.111,3,1.925
299,Billing,1,Human,55,Yes,4,3,Low,No,0.073,1,1.3750000000000002
300,Billing,2,AI,22,Yes,4,3,Medium,No,0.182,2,1.7100000000000002
301,Technical,2,Human,60,Yes,5,1,High,No,0.083,3,1.6
302,HR,2,Human,35,Yes,1,3,Medium,No,0.029,2,1.7750000000000001
303,Billing,3,Human,17,Yes,1,3,Medium,No,0.059,2,2.0850000000000004
304,Customer Support,4,Human,27,No,4,0,High,No,0.148,3,2.035
305,Customer Support,2,Human,49,Yes,4,2,Low,No,0.082,1,1.545
306,Customer Support,3,AI,29,Yes,1,1,Low,No,0.034,1,1.6450000000000002
307,Customer Support,4,AI,27,Yes,4,0,High,No,0.148,3,2.035
308,Technical,5,Human,13,Yes,1,3,Medium,No,0.077,2,2.865
309,Technical,2,Human,43,Yes,3,3,High,No,0.07,3,1.9150000000000003
310,Technical,1,Human,26,Yes,4,2,Low,No,0.154,1,1.03
311,Technical,5,AI,20,Yes,4,3,Low,No,0.2,1,2.8000000000000003
312,HR,5,Human,44,Yes,4,2,High,No,0.091,3,2.92
313,Customer Support,4,Human,15,Yes,3,1,Low,No,0.2,1,1.975
314,Customer Support,3,Human,25,Yes,2,0,Low,No,0.08,1,1.4250000000000003
315,HR,2,AI,21,Yes,2,3,Low,No,0.095,1,1.6050000000000002
316,Billing,2,AI,57,Yes,4,3,High,No,0.07,3,1.985
317,Technical,1,Human,46,Yes,1,3,High,No,0.022,3,1.53
318,Billing,5,AI,51,Yes,3,3,High,No,0.059,3,3.1550000000000002
319,Technical,3,AI,58,Yes,5,0,Medium,No,0.086,2,1.6900000000000002
320,Technical,1,AI,36,Yes,4,0,Low,No,0.111,1,0.68
321,Technical,3,AI,37,Yes,3,0,High,No,0.081,3,1.6850000000000003
322,Billing,1,Human,17,No,4,2,High,Yes,0.235,3,1.185
323,Customer Support,5,Human,50,Yes,2,1,Low,No,0.04,1,2.5500000000000003
324,Customer Support,3,Human,15,Yes,2,0,Low,No,0.133,1,1.3750000000000002
325,Billing,2,Human,34,Yes,3,1,Low,No,0.088,1,1.27
326,HR,3,AI,15,Yes,4,0,Low,No,0.267,1,1.3750000000000002
327,Billing,1,Human,57,Yes,2,2,Medium,No,0.035,2,1.285
328,Billing,2,AI,8,Yes,5,0,High,Yes,0.625,3,1.1400000000000001
329,Billing,4,Human,16,Yes,2,2,Medium,No,0.125,2,2.2800000000000002
330,Billing,2,AI,19,Yes,5,1,Medium,Yes,0.263,2,1.295
331,Technical,2,AI,5,Yes,3,0,Low,Yes,0.6,1,0.925
332,Customer Support,4,AI,22,Yes,4,1,Low,No,0.182,1,2.01
333,Customer Support,1,AI,9,Yes,2,1,High,Yes,0.222,3,0.9450000000000001
334,Technical,5,Human,27,Yes,4,0,High,No,0.148,3,2.4349999999999996
335,HR,1,Human,17,Yes,5,3,Medium,Yes,0.294,2,1.285
336,HR,3,Human,59,Yes,2,0,Low,No,0.034,1,1.5950000000000002
337,Billing,2,Human,46,Yes,1,0,Low,No,0.022,1,1.1300000000000001
338,Billing,1,Human,18,No,1,1,Low,Yes,0.056,1,0.7899999999999999
339,Technical,4,Human,11,Yes,1,1,High,No,0.091,3,2.1550000000000002
340,Technical,4,Human,6,Yes,3,0,Medium,No,0.5,2,1.83
341,HR,3,AI,46,Yes,1,2,Low,No,0.022,1,1.9300000000000002
342,HR,1,Human,41,Yes,4,2,Low,No,0.098,1,1.105
343,Billing,3,AI,14,Yes,2,3,Low,No,0.143,1,1.9700000000000004
344,Billing,3,Human,22,Yes,1,2,Low,No,0.045,1,1.81
345,HR,5,AI,48,No,4,1,Medium,No,0.083,2,2.6400000000000006
346,Customer Support,3,Human,5,Yes,3,0,Medium,No,0.6,2,1.425
347,Technical,5,Human,10,Yes,4,0,Medium,No,0.4,2,2.25
348,Billing,4,Human,51,Yes,5,0,High,No,0.098,3,2.1550000000000002
349,Billing,3,Human,39,Yes,5,0,Medium,No,0.128,2,1.5950000000000002
350,Customer Support,3,AI,10,Yes,4,1,Low,No,0.4,1,1.5500000000000003
351,Technical,2,Human,44,Yes,4,0,High,No,0.091,3,1.32
352,Customer Support,4,AI,20,Yes,1,1,High,No,0.05,3,2.2
353,Customer Support,4,Human,40,Yes,5,3,High,No,0.125,3,2.7
354,Billing,4,Human,7,Yes,3,3,Medium,No,0.429,2,2.4350000000000005
355,Customer Support,1,AI,57,Yes,2,1,Medium,No,0.035,2,1.085
356,Billing,3,Human,46,Yes,4,0,Low,No,0.087,1,1.5300000000000002
357,HR,1,Human,46,Yes,1,2,High,No,0.022,3,1.33
